dataset_id,title,source_family,source_zip_path,raw_relative_path,source_resolution,source_content_status,preview_feasibility_status,preview_eligibility_blockers,raster_member_path,wms_member_path,crs,native_bounds,wgs84_bounds,raster_width,raster_height,band_count,dtype,nodata,sample_width,sample_height,sample_valid_pixel_count,sample_unique_value_count,sample_min,sample_max,visual_signal_status,wms_value_class_count,error_message
dl_adminunits_bcts,BCTS Operating Areas,data_layer,data_layers/adminunits_bcts.zip,raw/hectaresbc_2022_export/data_layers/adminunits_bcts.zip,local_archive_fallback,local_archive_fallback_present,metadata_preview_candidate,[],bcts.tiff,bcts.wms.xml,EPSG:3005,"[159587.5, 173787.5, 1881187.5, 1748187.5]","[-141.0962892349142, 45.9344383046823, -110.19483972116899, 60.71688156515922]",17216,15744,1,int16,-9999.0,,,,,,,not_sampled_metadata_only,12,
dl_adminunits_coaltenure,Coal Tenures,data_layer,data_layers/adminunits_coaltenure.zip,raw/hectaresbc_2022_export/data_layers/adminunits_coaltenure.zip,local_archive_fallback,local_archive_fallback_present,metadata_preview_candidate,[],coaltenure.tiff,coaltenure.wms.xml,EPSG:3005,"[159587.5, 173787.5, 1881187.5, 1748187.5]","[-141.0962892349142, 45.9344383046823, -110.19483972116899, 60.71688156515922]",17216,15744,1,int16,-9999.0,,,,,,,not_sampled_metadata_only,1,
dl_adminunits_firezone,Fire Centres and Zones,data_layer,data_layers/adminunits_firezone.zip,raw/hectaresbc_2022_export/data_layers/adminunits_firezone.zip,local_archive_fallback,local_archive_fallback_present,metadata_preview_candidate,[],firezone.tiff,firezone.wms.xml,EPSG:3005,"[159587.5, 173787.5, 1881187.5, 1748187.5]","[-141.0962892349142, 45.9344383046823, -110.19483972116899, 60.71688156515922]",17216,15744,1,int16,-9999.0,,,,,,,not_sampled_metadata_only,35,
dl_adminunits_forestdistrict,Forest Districts,data_layer,data_layers/adminunits_forestdistrict.zip,raw/hectaresbc_2022_export/data_layers/adminunits_forestdistrict.zip,local_archive_fallback,local_archive_fallback_present,metadata_preview_candidate,[],forestdistrict.tiff,forestdistrict.wms.xml,EPSG:3005,"[159587.5, 173787.5, 1881187.5, 1748187.5]","[-141.0962892349142, 45.9344383046823, -110.19483972116899, 60.71688156515922]",17216,15744,1,int16,-9999.0,,,,,,,not_sampled_metadata_only,29,
dl_adminunits_healthunits,Local Health Area Boundaries,data_layer,data_layers/adminunits_healthunits.zip,raw/hectaresbc_2022_export/data_layers/adminunits_healthunits.zip,local_archive_fallback,local_archive_fallback_present,metadata_preview_candidate,[],healthunits.tiff,healthunits.wms.xml,EPSG:3005,"[159587.5, 173787.5, 1881187.5, 1748187.5]","[-141.0962892349142, 45.9344383046823, -110.19483972116899, 60.71688156515922]",17216,15744,1,int16,-9999.0,,,,,,,not_sampled_metadata_only,89,
dl_adminunits_ilmbregions,ILMB Regional & Subregional Boundaries,data_layer,data_layers/adminunits_ilmbregions.zip,raw/hectaresbc_2022_export/data_layers/adminunits_ilmbregions.zip,local_archive_fallback,local_archive_fallback_present,metadata_preview_candidate,[],ilmbregions.tiff,ilmbregions.wms.xml,EPSG:3005,"[159587.5, 173787.5, 1881187.5, 1748187.5]","[-141.0962892349142, 45.9344383046823, -110.19483972116899, 60.71688156515922]",17216,15744,1,int16,-9999.0,,,,,,,not_sampled_metadata_only,9,
dl_adminunits_mineraltenure,Mineral Tenures,data_layer,data_layers/adminunits_mineraltenure.zip,raw/hectaresbc_2022_export/data_layers/adminunits_mineraltenure.zip,local_archive_fallback,local_archive_fallback_present,metadata_preview_candidate,[],mineraltenure.tiff,mineraltenure.wms.xml,EPSG:3005,"[159587.5, 173787.5, 1881187.5, 1748187.5]","[-141.0962892349142, 45.9344383046823, -110.19483972116899, 60.71688156515922]",17216,15744,1,int16,-9999.0,,,,,,,not_sampled_metadata_only,1,
dl_adminunits_moeregionsesd,Ministry of Environment Regions (Environmental Stewardship Division),data_layer,data_layers/adminunits_moeregionsesd.zip,raw/hectaresbc_2022_export/data_layers/adminunits_moeregionsesd.zip,local_archive_fallback,local_archive_fallback_present,metadata_preview_candidate,[],moeregionsesd.tiff,moeregionsesd.wms.xml,EPSG:3005,"[159587.5, 173787.5, 1881187.5, 1748187.5]","[-141.0962892349142, 45.9344383046823, -110.19483972116899, 60.71688156515922]",17216,15744,1,int16,-9999.0,,,,,,,not_sampled_metadata_only,9,
dl_adminunits_municipalities,Municipalities,data_layer,data_layers/adminunits_municipalities.zip,raw/hectaresbc_2022_export/data_layers/adminunits_municipalities.zip,local_archive_fallback,local_archive_fallback_present,metadata_preview_candidate,[],municipalities.tiff,municipalities.wms.xml,EPSG:3005,"[159587.5, 173787.5, 1881187.5, 1748187.5]","[-141.0962892349142, 45.9344383046823, -110.19483972116899, 60.71688156515922]",17216,15744,1,int16,-9999.0,,,,,,,not_sampled_metadata_only,159,
dl_adminunits_nrsab,Natural Resource Sector Administrative Regions & SubRegsion,data_layer,data_layers/adminunits_nrsab.zip,raw/hectaresbc_2022_export/data_layers/adminunits_nrsab.zip,local_archive_fallback,local_archive_fallback_present,metadata_preview_candidate,[],nrsab.tiff,nrsab.wms.xml,EPSG:3005,"[159587.5, 173787.5, 1881187.5, 1748187.5]","[-141.0962892349142, 45.9344383046823, -110.19483972116899, 60.71688156515922]",17216,15744,1,int16,-9999.0,,,,,,,not_sampled_metadata_only,8,
